symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00062000,-1.131,0.05452506,0.05483000,0.05421000,2.77020000,0.05420000,46.67550000,0.05421000,59.77620000,0.05483000,0.05487000,0.05396000,29287.79370000,1596.91864178,1697695103863,1697781503863,424074141,424112330,38190
LTCBTC,-0.00000300,-0.140,0.00214510,0.00213800,0.00213400,1.39500000,0.00213400,56.64900000,0.00213500,99.57400000,0.00213700,0.00216000,0.00213100,24180.69300000,51.87009617,1697695086564,1697781486564,93819594,93826934,7341
BNBBTC,-0.00013200,-1.781,0.00734558,0.00741100,0.00727900,0.17700000,0.00727900,11.57600000,0.00728000,9.89500000,0.00741100,0.00742700,0.00725200,28467.24800000,209.10843125,1697695103469,1697781503469,227884319,227914707,30389
NEOBTC,-0.00000680,-2.858,0.00023119,0.00023780,0.00023110,4.17000000,0.00023100,6.40000000,0.00023110,337.62000000,0.00023790,0.00023810,0.00022650,19923.09000000,4.60599571,1697695101287,1697781501287,45561931,45563585,1655
QTUMETH,0.00000600,0.434,0.00137424,0.00139100,0.00138800,54.40000000,0.00138400,19.20000000,0.00138900,62.80000000,0.00138200,0.00138800,0.00135200,1101.10000000,1.51317520,1697694855110,1697781255110,5404035,5404074,40
EOSETH,0.00000500,1.467,0.00034302,0.00034120,0.00034590,88.90000000,0.00034510,55.10000000,0.00034580,851.40000000,0.00034090,0.00034590,0.00033920,19615.50000000,6.72855182,1697695105777,1697781505777,23503083,23503245,163
SNTETH,0.00000069,4.370,0.00001616,0.00001589,0.00001648,5888.00000000,0.00001617,52938.00000000,0.00001629,428.00000000,0.00001579,0.00001681,0.00001545,963539.00000000,15.56612018,1697695066772,1697781466772,3918725,3918921,197
BNTETH,-0.00000950,-2.497,0.00037407,0.00038160,0.00037090,91.10000000,0.00037000,2.90000000,0.00037070,204.70000000,0.00038040,0.00039060,0.00036500,60349.00000000,22.57475172,1697695011716,1697781411716,2255526,2256307,782
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
GASBTC,-0.00000150,-1.868,0.00007949,0.00008000,0.00007880,4.50000000,0.00007870,20.40000000,0.00007890,13.60000000,0.00008030,0.00008030,0.00007820,8680.90000000,0.69005635,1697695021331,1697781421331,20855737,20856240,504
BNBETH,-0.00080000,-0.592,0.13479287,0.13520000,0.13430000,0.94900000,0.13420000,9.85800000,0.13440000,33.00300000,0.13510000,0.13600000,0.13350000,6878.40500000,927.15996210,1697695091587,1697781491587,56513946,56520535,6590
BTCUSDT,903.81000000,3.192,28758.50366011,28312.26000000,29216.08000000,0.17643000,29216.08000000,3.76399000,29216.09000000,9.79193000,28312.27000000,29400.00000000,28242.67000000,44571.01792000,1281795781.98725520,1697695106064,1697781506064,3244972885,3246590606,1617722
ETHUSDT,31.16000000,2.007,1566.70386980,1552.65000000,1583.82000000,0.99340000,1583.81000000,0.40110000,1583.82000000,177.12910000,1552.66000000,1594.99000000,1541.76000000,224076.84950000,351062067.24436700,1697695106063,1697781506063,1211982796,1212497147,514352
